d,delta_over_d4,limit
0.001195908194,-0.116536232033,-0.116536458333
0.001284201265,-0.116536197385,-0.116536458333
0.001379012952,-0.116536157431,-0.116536458333
0.00148082452,-0.11653611136,-0.116536458333
0.001590152766,-0.116536058235,-0.116536458333
0.001707552639,-0.116535996977,-0.116536458333
0.001833620064,-0.116535926339,-0.116536458333
0.001968994959,-0.116535844886,-0.116536458333
0.002114364489,-0.116535750962,-0.116536458333
0.00227046655,-0.116535642657,-0.116536458333
0.002438093517,-0.11653551777,-0.116536458333
0.002618096267,-0.116535373761,-0.116536458333
0.002811388495,-0.116535207704,-0.116536458333
0.003018951354,-0.116535016222,-0.116536458333
0.003241838435,-0.116534795423,-0.116536458333
0.003481181114,-0.116534540819,-0.116536458333
0.003738194296,-0.116534247232,-0.116536458333
0.004014182583,-0.116533908696,-0.116536458333
0.004310546894,-0.116533518328,-0.116536458333
0.004628791576,-0.116533068193,-0.116536458333
0.004970532041,-0.116532549141,-0.116536458333
0.005337502968,-0.11653195062,-0.116536458333
0.005731567103,-0.116531260464,-0.116536458333
0.006154724719,-0.116530464645,-0.116536458333
0.006609123768,-0.116529546986,-0.116536458333
0.007097070783,-0.116528488835,-0.116536458333
0.007621042587,-0.116527268684,-0.116536458333
0.008183698865,-0.116525861735,-0.116536458333
0.008787895665,-0.116524239393,-0.116536458333
0.009436699895,-0.116522368687,-0.116536458333
0.01013340489,-0.1165202116,-0.116536458333
0.01088154713,-0.116517724299,-0.116536458333
0.01168492419,-0.116514856243,-0.116536458333
0.01254761403,-0.116511549161,-0.116536458333
0.01347399565,-0.116507735865,-0.116536458333
0.01446877139,-0.116503338893,-0.116536458333
0.01553699072,-0.116498268936,-0.116536458333
0.01668407595,-0.116492423031,-0.116536458333
0.01791584969,-0.116485682476,-0.116536458333
0.01923856442,-0.116477910426,-0.116536458333
0.02065893426,-0.116468949131,-0.116536458333
0.02218416902,-0.116458616746,-0.116536458333
0.0238220108,-0.116446703663,-0.116536458333
0.02558077331,-0.116432968288,-0.116536458333
0.02746938402,-0.116417132174,-0.116536458333
0.02949742956,-0.116398874427,-0.116536458333
0.03167520428,-0.116377825271,-0.116536458333
0.0340137626,-0.116353558638,-0.116536458333
0.03652497506,-0.116325583665,-0.116536458333
0.03922158859,-0.11629333491,-0.116536458333
0.04211729122,-0.116256161127,-0.116536458333
0.04522678156,-0.116213312383,-0.116536458333
0.04856584341,-0.116163925282,-0.116536458333
0.05215142588,-0.116107006039,-0.116536458333
0.05600172941,-0.116041411111,-0.116536458333
0.06013629818,-0.115965825053,-0.116536458333
0.06457611928,-0.115878735242,-0.116536458333
0.0693437293,-0.115778403068,-0.116536458333
0.07446332864,-0.115662831177,-0.116536458333
0.07996090445,-0.11552972628,-0.116536458333
0.08586436246,-0.115376457067,-0.116536458333
0.09220366867,-0.11520000672,-0.116536458333
0.09901100145,-0.114996919531,-0.116536458333
0.1063209149,-0.114763241168,-0.116536458333
0.1141705141,-0.114494452181,-0.116536458333
0.1225996439,-0.114185394481,-0.116536458333
0.1316510904,-0.113830190695,-0.116536458333
0.1413707989,-0.11342215658,-0.116536458333
0.1518081067,-0.112953707105,-0.116536458333
0.1630159938,-0.112416257372,-0.116536458333
0.1750513513,-0.111800120344,-0.116536458333
0.1879752709,-0.111094404398,-0.116536458333
0.2018533545,-0.110286915158,-0.116536458333
0.2167560474,-0.109364067846,-0.116536458333
0.2327589958,-0.108310818733,-0.116536458333
0.2499434307,-0.107110627141,-0.116536458333
0.2683965805,-0.105745462967,-0.116536458333
0.2882121135,-0.10419587877,-0.116536458333
0.3094906136,-0.102441170164,-0.116536458333
0.3323400905,-0.100459653121,-0.116536458333
0.3568765284,-0.0982290916016,-0.116536458333
0.3832244745,-0.09572731266,-0.116536458333
0.4115176712,-0.0929330478131,-0.116536458333
0.4418997349,-0.0898270370031,-0.116536458333
